Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1Y Return","5Y CAGR"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1930419.56538127","2915.4","28.940954774688464","38.00427598358368","20.769534052450034"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1380644.10643121","3854.15","32.75782633238926","11.378742341925788","13.681201345314431"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1110694.23325926","1446.15","24.14704387426212","-9.804471886986612","6.709427074056884"
ICICI Bank Ltd,ICICIBANK,"Private Banks","721419.501814","1024","21.195379503205977","19.36123091269379","23.62320493296959"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","688326.467996","1150.8","82.47480415485457","47.965284474445504","30.324871301405754"
Infosys Ltd,INFY,"IT Services & Consulting","687428.89100671","1693.35","28.52993944829674","6.920284135753743","17.469314298664273"
Life Insurance Corporation Of India,LICI,"Insurance","600716.656652475","945.45","16.688131354828524","57.81171757636454",
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","583062.81962161","2452.6","57.61490312466502","-6.916902290452967","6.39093577371328"
State Bank of India,SBIN,"Public Banks","571621.3943727","649.65","10.272060956770012","23.016474152622603","17.964130290831015"
ITC Ltd,ITC,"FMCG - Tobacco","551015.322869155","440.1","28.711186154254236","16.24405705229794","9.399512839376367"
Larsen & Toubro Ltd,LT,"Construction & Engineering","478336.75524255","3376.05","45.68327252018483","57.39894633782461","20.577097062183714"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","426774.225716","1583.75","28.737069942495456","37.765309672929725","24.859003989720584"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","423921.7790885","6848.3","36.838129901700505","19.774732626166355","21.109514653257435"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362796.23569245","1822.95","24.307922916850355","3.473818646232442","7.740198794888653"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","358188.3522182","3157.45","144.84312284899758","101.72176968535376","85.69494816238084"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","340333.66881965","1407.95","40.16409461168128","39.73302897975387","27.17391851111688"
Axis Bank Ltd,AXISBANK,"Private Banks","329355.070767275","1067.05","30.443831673416668","22.86832863146985","8.268680175630273"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","328263.3715908","3612.4","101.00411433563077","56.50968328928557","29.507894542163694"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","323502.7110347","878.75","133.99496789313045","97.56070143884892","37.064815923717376"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","320278.75810806","10655.45","39.006059932780374","20.12705534855669","8.88393623666255"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","317337.54297135","257.25","8.954105914889604","79.33077727431163","12.651202120818738"
NTPC Ltd,NTPC,"Power Generation","307869.1497545","332.5","18.20359140132624","99.22109047333733","23.275620794614426"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","292984.45004063","10098.55","57.856786001593626","40.89066848967234","23.721421435631296"
Asian Paints Ltd,ASIANPAINT,"Paints","283611.144563775","2936.3","69.06479917295354","8.524753756029053","15.041954760027231"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","264446.30203971","1674.25","271.5054435725975","61.00879934605954","115.82852975966071"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","260869.179692925","1261.45","49.12624048392425","172.77543518218187","30.0993433436187"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","259082.10086807003","1651.5","40.3725723153844","29.845113609560492","22.054129208394468"
Coal India Ltd,COALINDIA,"Mining - Coal","250299.21100110497","419.8","8.886828421931643","92.8784746152079","13.467019926718127"
Wipro Ltd,WIPRO,"IT Services & Consulting","249474.20741566498","471.35","21.980106380234794","15.117841006227875","11.028854171882575"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","246803.53070036002","3784.3","103.76392392731601","8.033343800850725","21.268178700079442"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","241617.784296","2481.4","101.07331638973953","30.91281272092263","16.512820345268597"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","241164.65702667003","277.1","15.642652909666007","73.70318131954242","20.965269481842764"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","228894.88259","168.95","36.120328449852515","435.499207606973",
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","217129.49381178","7738.2","35.82870788500402","104.13643918009866","24.348771496135857"
Adani Power Ltd,ADANIPOWER,"Power Generation","217029.95421007","559.4","20.232799293168213","176.8621628309824","66.13458025503536"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","207511.598038185","162.9","21.19169271191376","107.38383195416932","12.239952673801934"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","200592.3735","2970.7","34.420268148544686","152.1014108412008","53.136372310871316"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","199385.47710623502","823.55","48.114256058454394","13.218311795435797","24.533802645118662"
DLF Ltd,DLF,"Real Estate","198668.51752356","791.45","97.58600547371827","123.25811001410439","36.71626807627113"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","197750.366197315","1660.75","19.23361048459029","22.80020703933747","19.259416430611065"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","168358.17295568998","134.8","19.218091977043343","12.380158399333062","23.22270410318257"
Varun Beverages Ltd,VBL,"Soft Drinks","166364.92806252","1285.75","111.10030389568792","122.8529335297686","59.783925955790096"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","161364.895914915","5485.85","36.604790035822205","19.576044902185174","25.405185556537834"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","157720.2799671","253.8","5047.0489589472","1.9686621132985156",
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","586.75","-11.28954813564435","159.16519434628975","44.20246854707137"
Grasim Industries Ltd,GRASIM,"Cement","147558.403635","2139.45","21.613122048230206","34.35226926191009","24.470196490962493"
Siemens Ltd,SIEMENS,"Conglomerates","147448.0303802","4104.65","75.19405904441842","40.3059306101521","31.8241770641688"
Power Finance Corporation Ltd,PFC,"Specialized Finance","146277.010512","450.8","9.205989837960445","307.0428893905192","40.140470535679015"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","140288.77104334498","1435.45","81.53621825519673","29.611738148984205","19.42285968402535"
Bharat Electronics Ltd,BEL,"Electronic Equipments","135888.78843111","184.6","45.532729451990726","98.28141783029001","45.61178229044389"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","134048.245275","318.2","12.753139118542478","-7.432727272727275","4.55245767497825"
REC Ltd,RECLTD,"Specialized Finance","131411.04372","496.9","11.767822967355546","321.99575371549895","39.57679819970033"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","130188.10193253","1312.5","26.946805607710154","29.100477057000937","11.944372251555023"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","129579.88775643","583.5","12.833503788890761","25.37602062741728","22.514410726084243"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","128833.2888687","2515.35","101.18459757997255","9.771105631805193","17.505773043549677"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","128042.92755204","255.25","8.590487048281132","65.69295683219732","18.100119855571606"
Punjab National Bank,PNB,"Public Banks","125966.01798352","125.4","37.61920231256838","146.85039370078744","11.155413762260169"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","125212.97499264","5148.85","53.92996506658285","12.591159073266203","9.63233248979849"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","124538.358844325","389.8","37.32671915104874","88.94813378574891","40.38062078426579"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","123986.38033848001","578.8","90.6154343356784","17.475137000202956","9.042370145597678"
Zomato Ltd,ZOMATO,"Online Services","119546.20561283","140.55","-123.07856029324604","195.8947368421053",
Indusind Bank Ltd,INDUSINDBK,"Private Banks","119371.65925041001","1533.75","16.037076642969417","42.55507017380796","0.24432344610267887"
Adani Transmission Ltd,ADANIENSOL,"Power Infrastructure","119117.886154155","1052.05","94.81416996661315","-32.17612738935629","37.35959639282229"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","119076.74270218001","1236.85","69.94392978524026","31.621794189634972","11.720341512803166"
Interglobe Aviation Ltd,INDIGO,"Airlines","114291.86344163","3127.1","-373.77154634583735","47.168035390733465","21.643059934970644"
GAIL (India) Ltd,GAIL,"Gas Distribution","113486.21983818001","177.9","20.207660227596133","89.45686900958466","9.863466019677404"
Adani Total Gas Ltd,ATGL,"Gas Distribution","111339.273752505","999.25","203.73524447383284","-41.48562393863091","60.97315210058976"
Ambuja Cements Ltd,AMBUJACEM,"Cement","111255.70218087","557.4","43.06561205421914","58.10523330024109","21.272297682747787"
Trent Ltd,TRENT,"Retail - Apparel","109737.20177339499","3102.8","246.77236225999016","156.30265983809684","54.505369364009006"
Cipla Ltd,CIPLA,"Pharmaceuticals","109074.2739891","1392.65","38.92854302568604","35.828537988881315","21.714556547448627"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","108628.95751205999","558.35","50.97438235238901","68.0764599638772","10.364761293628755"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","106526.9324288","1162.75","88.4944237095126","57.735874652377404","41.621330019449545"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","105118.84098","3825.55","36.07446995476917","18.905604077953562","14.236953315702984"
Union Bank of India Ltd,UNIONBANK,"Public Banks","103663.088314745","144.6","12.1789507939397","97.0027247956403","12.16450417101871"
Macrotech Developers Ltd,LODHA,"Real Estate","103212.02772549","1114.8","212.06498402607386","119.67584610079312",
Shree Cement Ltd,SHREECEM,"Cement","103033.0860075","28453.95","81.08372236365747","16.028462785315977","12.511290225542826"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","101925.327192745","6039.5","22.61338876772015","38.200498844420025","16.691829800861747"
Vedanta Ltd,VEDL,"Metals - Diversified","101731.06159867","272.55","9.620868318391338","-16.664118636294145","10.94451773656906"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","99434.56634485","1160.85","37.3133821208886","49.787096774193536","36.692488940778304"
ABB India Ltd,ABB,"Heavy Electrical Equipments","98995.116465","4480.45","97.41408585162814","58.23032914253426","28.633251859877753"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","97442.8969748","3699.4","53.44080607158134","13.235384144475056","19.276438763660675"
Dabur India Ltd,DABUR,"FMCG - Personal Products","95619.1116636","544.65","56.01096076126877","-1.7675173595455076","3.8065229234970355"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","95081.55956039","2045.3","71.56145586217032","104.1115712788783","31.67766506094498"
IDBI Bank Ltd,IDBI,"Private Bank","93115.8028355","87.2","25.125214266190316","73.70517928286853","10.575472592528335"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","93111.4892713","8461.45","19.19618706268606","40.252776396486006","24.17573863836502"
Indian Overseas Bank,IOB,"Public Banks","92810.84417696","56.15","44.11182761180419","109.90654205607477","32.594600360332215"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","92665.9192312","2405.5","15.41595451555805","90.23329379201266","18.713402193467644"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","92378.847194715","4717.3","32.87550256755081","77.27879140908324","10.938548966649808"
NHPC Ltd,NHPC,"Renewable Energy","91359.591551475","100.65","23.485876932908386","141.07784431137728","31.703104581084006"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","91345.673668815","6320.55","111.5195625306007","49.369018078695504","36.34808015666016"
Canara Bank Ltd,CANBK,"Public Banks","87441.0781464","514.35","7.769266828589553","80.41038232199227","16.65896301969041"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","85663.9253184","2525.65","68.79365684925675","63.891502546964745","22.938776180089505"
JSW Energy Ltd,JSWENERGY,"Power Generation","82838.79924675","482.9","56.05700468733083","114.14634146341461","48.024481621312944"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","81117.8514032","1341.3","75.68870088847002","11.886886886886888","12.718191187667882"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","80115.6850578","2035.25","62.50004685243984","43.09569007944879",
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","79478.096077875","233.8","166.48462698815456","209.2592592592593","29.437224276602624"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","79263.059205675","1086.05","69.75539840330451","40.81685575364667","14.811751062964774"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","78176","967.5","77.71978486285506","53.52269120913994",
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","77008.49089511999","759.55","39.28403351278885","75.4764930114358","18.606795134769015"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","76742.97196995","115.85","51.31249797402384","54.56971314209471","4.525637746745548"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","76459.2946","3566.85","53.71709014521875","93.01658594658946","21.241206724255555"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","76095.67003405","776","23.975144468405233","34.944787409790464","43.01590841937162"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","75882.70449664","766.4","68.76485441603613","73.80655403106928",
Tube Investments of India Ltd,TIINDIA,"Cycles","75379.319535975","3644","78.88331645280881","35.47223822889753","60.4943220602161"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","73701.64029811","1499.05","42.62551129123504","32.61821559693901","11.238934300287662"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","72470.790571575","506.5","89.08517587163595","23.702527781169866","12.125255336691932"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","71560.87279687","448","74.33582930481887","46.35739954263312","63.79433738558213"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","70125.388663155","500","69.9442330994275","57.23270440251572","29.104519631876613"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","69875.82923094","2541.75","66.72889456333323","73.91973724725443","14.466034447331634"
Vodafone Idea Ltd,IDEA,"Telecom Services","69855.542238125","14.05","-2.384058695343348","106.61764705882355","-5.507030403677815"
Bosch Ltd,BOSCHLTD,"Auto Parts","69511.0531566","23956.75","48.762576749631656","39.53735576951079","4.400232612703325"
Yes Bank Ltd,YESBANK,"Private Banks","69319.63466766999","23.9","94.2073260684266","41.839762611275944","-33.63119686946179"
SRF Ltd,SRF,"Diversified Chemicals","68921.73606075","2308.45","31.87368131780852","4.796168512801872","42.46864873497562"
Lupin Ltd,LUPIN,"Pharmaceuticals","68567.02908825","1502.75","159.42854605712856","102.52695417789758","11.218074099743625"
Marico Ltd,MARICO,"FMCG - Personal Products","68240.855764125","529.5","52.41233161607143","5.963578146888135","7.0611077311326875"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","68013.927049665","711.25","30.11504560594784","-3.5397029904387365",
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","67406.37757935999","1066.75","34.970883309654965","160.15120107303986","5.982393632262273"
Indian Bank,INDIANB,"Public Banks","67193.298192185","545.95","12.058427867829497","86.80923866552611","19.50359503681065"
General Insurance Corporation of India,GICRE,"Insurance","66097.02","377.2","9.569140519246996","136.4149169539329","8.621960029939624"
Godrej Properties Ltd,GODREJPROP,"Real Estate","66094.19254717","2375.55","115.67264486107536","105.49740484429067","25.929941631003572"
Berger Paints India Ltd,BERGEPAINT,"Paints","65882.0131176","569.55","76.65869204533291","26.42619311875691","16.000299553301645"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","65714.252082125","488.85","-9.414339080821815","112.3127035830619","15.87558839398695"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","65231.9935428","4383.7","51.36539225077953","46.0503081792437",
Info Edge (India) Ltd,NAUKRI,"Online Services","64966.419174605006","5177.15","-604.8451650182004","42.01676061940226","24.506308874638407"
NMDC Ltd,NMDC,"Mining - Iron Ore","64429.36961225","235.55","11.499987436502236","96.94816053511708","19.826391842838586"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","64270.7445825","294.55","45.24356381859139","299.11924119241195",
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","63585.522","2309.7","51.77341692789974","59.32811368261302","23.74834913247168"
Persistent Systems Ltd,PERSISTENT,"Software Services","63398.052076385","8502.6","68.82937831958327","76.24160517370038","68.88858174040078"
Bank of India Ltd,BANKINDIA,"Public Banks","63259.319998069994","151.55","16.482537597596114","94.91961414790998","9.825634521350256"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","62483.35409476","48.6","21.93160223893914","428.2608695652175","60.94769119996513"
MRF Ltd,MRF,"Tires & Rubber","60469.114196819995","140941.85","78.63855152717345","51.84860373626267","18.127316255014915"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","59814.12560525","216.15","29.320649806495062","51.52471083070452","-6.10682237310164"
